Age,Gender,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
40,Female,Travel_Rarely,Research & Development,21,4,Life Sciences,3,1,2,Human Resources,1,Single,7120.0,5,No,11,3,2,3,19,3,3,14,11,4,14,No
39,Female,Travel_Rarely,Research & Development,8,3,Technical Degree,4,4,4,Manager,3,Divorced,9521.0,0,No,24,4,2,3,16,6,2,11,11,1,9,No
42,Male,Travel_Frequently,Research & Development,10,3,Other,2,2,2,Research Scientist,1,Married,8832.0,8,No,22,3,2,3,23,3,1,18,17,2,16,No
39,Female,Travel_Rarely,Research & Development,8,5,Human Resources,1,4,5,Laboratory Technician,1,Divorced,13574.0,8,No,11,3,4,1,18,5,2,18,18,3,14,No
39,Female,Travel_Rarely,Research & Development,14,3,Medical,1,2,4,Healthcare Representative,3,Divorced,11531.0,0,No,11,3,2,2,16,3,3,15,15,2,11,No
59,Male,Travel_Frequently,Research & Development,18,3,Life Sciences,1,1,2,Manager,1,Divorced,10423.0,3,Yes,17,3,2,0,36,3,4,36,36,2,35,Yes
23,Female,Travel_Frequently,Research & Development,9,4,Medical,2,4,4,Human Resources,2,Divorced,8989.0,7,No,11,3,4,2,4,3,3,0,0,0,0,No
32,Female,Travel_Frequently,Research & Development,22,2,Technical Degree,4,4,3,Research Scientist,3,Divorced,8565.0,1,Yes,16,3,3,2,10,3,1,7,6,3,7,No
60,Male,Travel_Rarely,Research & Development,9,2,Life Sciences,1,1,3,Healthcare Representative,4,Single,11627.0,7,Yes,12,3,3,1,38,5,2,33,33,2,33,Yes
54,Male,Travel_Rarely,Research & Development,4,4,Medical,3,4,3,Sales Representative,1,Divorced,11599.0,8,No,16,3,1,1,31,3,4,30,29,3,26,No
50,Female,Travel_Rarely,Research & Development,3,3,Medical,1,1,2,Sales Representative,4,Divorced,8618.0,8,No,16,4,3,1,28,3,4,26,23,2,22,No
25,Female,Travel_Rarely,Sales,14,1,Technical Degree,4,1,5,Manufacturing Director,1,Married,11670.0,0,Yes,22,3,1,2,7,4,1,0,0,0,0,No
22,Male,Travel_Rarely,Sales,14,2,Marketing,2,3,4,Laboratory Technician,2,Divorced,8842.0,8,Yes,21,3,1,3,0,5,2,0,0,0,0,Yes
56,Male,Travel_Rarely,Sales,21,4,Human Resources,3,2,1,Research Director,3,Married,6200.0,3,No,13,3,3,2,33,3,4,30,29,2,29,No
21,Female,Travel_Rarely,Research & Development,16,1,Technical Degree,3,3,3,Research Scientist,4,Married,6878.0,7,No,25,3,3,1,0,1,3,0,0,0,0,No
23,Male,Travel_Rarely,Sales,5,3,Life Sciences,1,1,3,Healthcare Representative,3,Married,7122.0,8,No,18,4,4,2,1,6,1,1,0,1,1,Yes
49,Male,Travel_Rarely,Research & Development,20,4,Life Sciences,4,1,1,Healthcare Representative,4,Married,6411.0,2,Yes,21,3,1,1,26,4,4,26,26,2,25,Yes
47,Female,Travel_Rarely,Research & Development,29,2,Other,1,4,1,Sales Executive,1,Single,7902.0,5,No,14,4,3,1,29,5,1,25,23,1,21,No
52,Female,Travel_Rarely,Research & Development,23,1,Medical,3,1,2,Sales Representative,2,Single,8965.0,2,No,23,3,3,0,31,2,2,27,26,1,26,No
57,Male,Travel_Rarely,Research & Development,24,1,Human Resources,1,1,4,Manufacturing Director,4,Married,14476.0,0,No,17,4,4,3,38,0,2,38,38,3,37,No
33,Male,Travel_Rarely,Research & Development,15,2,Life Sciences,4,1,3,Research Scientist,4,Single,7047.0,5,No,14,3,3,1,10,5,2,8,6,0,8,No
30,Female,Travel_Frequently,Research & Development,21,1,Marketing,2,2,5,Research Director,2,Single,14215.0,4,No,11,4,2,0,12,6,3,5,4,0,1,No
59,Male,Travel_Rarely,Sales,9,2,Marketing,3,3,2,Manufacturing Director,2,Divorced,8902.0,2,No,16,3,2,3,39,4,4,34,33,3,30,No
47,Female,Travel_Frequently,Research & Development,7,4,Technical Degree,4,3,2,Sales Executive,2,Single,8956.0,3,Yes,15,3,1,1,29,3,2,27,25,2,25,Yes
36,Male,Travel_Rarely,Research & Development,13,5,Life Sciences,1,2,5,Research Director,2,Married,13147.0,1,No,19,3,4,3,18,4,3,11,9,2,9,No
34,Male,Travel_Rarely,Research & Development,29,3,Human Resources,3,2,5,Sales Representative,2,Married,13006.0,3,No,25,3,3,3,13,0,2,9,6,0,7,No
36,Male,Travel_Rarely,Research & Development,23,4,Human Resources,1,2,5,Laboratory Technician,3,Married,12373.0,3,No,24,3,1,2,17,0,2,14,14,2,14,No
45,Female,Travel_Rarely,Research & Development,8,3,Life Sciences,1,3,1,Laboratory Technician,1,Married,6752.0,2,No,24,3,3,0,25,5,4,18,18,1,17,No
43,Female,Travel_Rarely,Human Resources,12,3,Other,2,3,3,Sales Representative,1,Divorced,8890.0,5,Yes,25,4,2,3,21,3,3,21,18,2,17,Yes
54,Male,Travel_Rarely,Research & Development,4,2,Other,1,1,1,Research Scientist,4,Single,8050.0,0,No,19,3,3,2,32,3,2,28,27,3,24,No
43,Male,Travel_Rarely,Research & Development,16,5,Other,1,3,3,Healthcare Representative,2,Married,9515.0,8,No,22,3,3,3,25,1,3,21,19,1,20,No
40,Female,Travel_Rarely,Research & Development,26,3,Life Sciences,4,4,1,Sales Representative,3,Divorced,5928.0,2,No,21,4,3,2,19,0,3,14,12,5,10,No
26,Female,Travel_Rarely,Research & Development,29,3,Technical Degree,1,3,4,Manager,3,Married,8802.0,2,No,23,3,2,1,5,3,2,5,3,1,4,No
29,Male,Travel_Rarely,Research & Development,29,4,Human Resources,2,2,3,Sales Representative,4,Single,7097.0,2,No,18,3,2,1,7,0,2,2,1,2,2,No
18,Female,Travel_Rarely,Research & Development,6,5,Technical Degree,1,3,2,Research Scientist,2,Divorced,4398.0,6,No,25,4,4,2,0,1,1,0,0,0,0,Yes
18,Female,Travel_Frequently,Sales,5,5,Technical Degree,1,1,3,Sales Representative,1,Single,5837.0,7,Yes,17,3,2,1,0,2,4,0,0,0,0,Yes
51,Male,Travel_Frequently,Sales,1,3,Technical Degree,1,3,3,Research Scientist,2,Divorced,10460.0,1,No,24,3,1,1,31,0,2,24,21,3,23,No
49,Male,Non-Travel,Research & Development,14,5,Marketing,3,2,3,Sales Representative,3,Married,9747.0,0,No,12,3,3,1,26,1,1,24,23,1,23,No
42,Female,Travel_Rarely,Sales,29,4,Life Sciences,2,4,4,Research Director,2,Married,11937.0,4,Yes,24,4,2,3,19,1,4,16,16,1,13,No
57,Female,Travel_Frequently,Research & Development,9,2,Medical,3,2,1,Research Director,1,Single,7900.0,7,No,18,4,1,2,38,6,2,35,32,1,31,No
18,Male,Travel_Frequently,Sales,18,3,Life Sciences,2,4,2,Healthcare Representative,1,Single,4447.0,2,No,13,4,2,0,0,1,3,0,0,0,0,No
33,Female,Travel_Rarely,Research & Development,6,1,Technical Degree,2,1,1,Sales Representative,4,Divorced,4008.0,5,No,16,3,3,0,14,4,4,13,13,4,10,Yes
56,Male,Travel_Rarely,Sales,15,3,Marketing,4,1,1,Research Director,3,Single,7944.0,2,No,20,3,1,2,35,5,3,29,26,0,26,No
22,Male,Non-Travel,Sales,16,3,Marketing,3,3,5,Manufacturing Director,2,Single,11945.0,5,Yes,17,3,2,3,0,3,1,0,0,0,0,Yes
39,Female,Non-Travel,Sales,8,2,Life Sciences,2,1,4,Research Scientist,2,Married,12468.0,3,No,22,3,2,1,21,0,2,17,15,1,14,No
46,Male,Travel_Rarely,Human Resources,19,1,Medical,2,1,5,Sales Representative,4,Married,15012.0,6,No,16,3,1,1,28,5,1,28,27,1,27,No
20,Male,Travel_Rarely,Research & Development,5,1,Technical Degree,4,2,4,Sales Executive,4,Married,7701.0,0,No,15,3,4,3,0,4,2,0,0,0,0,No
29,Male,Travel_Frequently,Research & Development,14,1,Marketing,3,2,1,Research Scientist,4,Married,1621.0,0,No,14,4,1,0,8,0,2,3,3,1,2,No
43,Male,Travel_Rarely,Research & Development,7,2,Technical Degree,1,3,1,Sales Representative,3,Married,5592.0,4,Yes,12,3,1,2,23,5,3,22,19,0,19,No
33,Male,Travel_Rarely,Research & Development,4,5,Technical Degree,4,3,4,Sales Executive,2,Married,8806.0,8,No,19,3,1,2,12,4,1,10,9,3,6,No
54,Female,Non-Travel,Research & Development,28,1,Human Resources,2,3,1,Sales Representative,4,Married,7421.0,4,No,24,4,1,3,36,3,3,31,30,0,30,No
39,Male,Travel_Frequently,Research & Development,21,5,Technical Degree,3,3,1,Healthcare Representative,3,Divorced,6612.0,3,No,17,4,2,1,21,1,3,16,16,3,12,No
46,Male,Non-Travel,Research & Development,1,4,Other,2,2,2,Laboratory Technician,2,Married,6812.0,7,Yes,17,3,1,1,23,5,3,23,22,1,22,No
31,Male,Travel_Rarely,Sales,4,2,Human Resources,4,3,5,Research Scientist,1,Married,11343.0,4,No,14,3,1,1,10,5,1,10,10,6,6,No
45,Female,Travel_Rarely,Sales,14,5,Technical Degree,4,3,5,Sales Representative,4,Married,15173.0,0,No,24,3,3,2,24,0,2,17,16,1,16,No
22,Male,Non-Travel,Research & Development,23,1,Technical Degree,3,1,5,Human Resources,3,Married,9075.0,6,No,15,3,2,0,4,1,2,0,0,0,0,No
47,Male,Travel_Rarely,Sales,16,1,Medical,4,3,3,Human Resources,2,Married,10994.0,3,No,16,3,3,2,27,6,1,27,26,1,25,No
22,Male,Travel_Frequently,Research & Development,28,5,Human Resources,4,4,2,Research Director,2,Single,5722.0,4,No,22,3,2,3,0,3,2,0,0,0,0,No
29,Male,Travel_Rarely,Research & Development,26,5,Human Resources,1,1,5,Research Scientist,4,Single,11265.0,5,Yes,21,4,4,2,7,0,1,7,4,4,6,Yes
33,Female,Travel_Rarely,Sales,7,4,Medical,2,2,5,Sales Executive,4,Married,11860.0,6,No,22,3,4,3,12,2,1,5,4,1,3,No
43,Female,Travel_Rarely,Research & Development,10,2,Other,1,4,2,Research Director,2,Married,8081.0,1,No,12,3,2,2,21,2,2,17,17,2,17,No
43,Male,Travel_Rarely,Research & Development,10,3,Human Resources,1,3,1,Research Scientist,3,Married,4896.0,0,No,14,3,4,0,25,2,4,23,23,3,22,No
38,Female,Travel_Rarely,Research & Development,4,4,Other,3,1,5,Manufacturing Director,1,Divorced,14730.0,2,No,25,3,4,3,20,3,3,18,17,0,16,No
56,Female,Travel_Rarely,Research & Development,12,4,Technical Degree,4,3,1,Manufacturing Director,2,Married,6470.0,0,No,23,3,2,1,35,2,1,29,28,1,27,No
53,Female,Travel_Rarely,Sales,6,4,Marketing,2,1,5,Research Scientist,3,Divorced,17392.0,3,No,14,3,1,1,32,5,1,26,23,1,24,No
50,Male,Travel_Rarely,Sales,13,1,Marketing,2,3,4,Manufacturing Director,4,Divorced,13446.0,5,No,22,4,3,2,27,6,4,27,27,1,24,No
47,Male,Travel_Frequently,Research & Development,21,5,Life Sciences,2,4,3,Sales Representative,2,Married,10534.0,4,Yes,23,3,2,2,26,0,1,20,20,3,16,No
54,Male,Travel_Rarely,Research & Development,1,2,Marketing,4,2,5,Manager,4,Single,17640.0,3,No,14,3,2,0,34,6,1,30,28,1,30,No
40,Male,Travel_Rarely,Sales,8,1,Marketing,2,4,4,Manager,1,Married,12428.0,6,Yes,17,3,2,0,18,6,2,11,11,2,7,No
27,Male,Travel_Rarely,Research & Development,28,4,Medical,2,4,2,Manufacturing Director,4,Married,5632.0,5,No,23,3,3,1,6,6,2,4,1,3,0,No
22,Male,Travel_Rarely,Research & Development,23,2,Life Sciences,4,2,4,Research Scientist,1,Single,7573.0,2,No,17,3,2,2,3,5,4,0,0,0,0,No
53,Female,Travel_Rarely,Research & Development,16,1,Life Sciences,3,1,2,Healthcare Representative,4,Single,8269.0,8,No,17,3,3,3,30,2,1,28,26,2,26,No
51,Female,Travel_Rarely,Research & Development,5,3,Medical,2,1,5,Laboratory Technician,4,Married,16777.0,4,No,17,4,3,0,32,6,3,30,28,3,26,No
48,Female,Travel_Rarely,Research & Development,29,4,Marketing,4,2,2,Laboratory Technician,1,Married,7730.0,0,No,12,3,4,3,30,6,2,26,25,1,23,No
27,Female,Travel_Rarely,Research & Development,26,1,Marketing,1,3,4,Manufacturing Director,4,Divorced,8861.0,5,Yes,15,3,1,3,5,0,3,0,0,0,0,No
36,Female,Travel_Rarely,Sales,26,1,Life Sciences,4,1,3,Healthcare Representative,3,Single,7930.0,4,No,20,3,4,0,15,5,3,10,10,3,8,No
49,Male,Non-Travel,Research & Development,7,4,Marketing,1,4,1,Research Scientist,4,Divorced,7062.0,7,Yes,12,3,2,2,30,3,4,26,24,2,26,No
18,Male,Non-Travel,Research & Development,26,3,Life Sciences,4,2,1,Manager,2,Divorced,3067.0,3,No,15,3,2,3,0,1,4,0,0,0,0,No
22,Female,Travel_Rarely,Sales,3,5,Marketing,2,4,3,Manager,4,Divorced,8068.0,0,Yes,22,3,3,2,4,5,1,0,0,0,0,No
21,Male,Travel_Rarely,Research & Development,24,3,Technical Degree,3,1,1,Research Director,3,Divorced,1582.0,1,Yes,16,3,4,3,1,4,4,0,0,0,0,Yes
33,Male,Non-Travel,Research & Development,21,4,Medical,3,2,5,Research Scientist,2,Single,12850.0,7,Yes,13,3,3,2,10,2,2,8,5,2,4,No
41,Male,Travel_Rarely,Sales,2,5,Human Resources,2,2,5,Research Director,3,Single,13040.0,7,No,16,4,4,2,19,4,1,16,15,0,12,No
33,Male,Travel_Rarely,Sales,2,1,Other,1,1,4,Research Director,2,Single,10261.0,4,No,25,3,4,2,11,1,1,4,3,1,2,No
19,Male,Travel_Rarely,Sales,20,3,Technical Degree,4,1,4,Manufacturing Director,4,Married,9268.0,5,No,15,3,4,2,0,3,3,0,0,0,0,No
45,Female,Non-Travel,Research & Development,23,3,Marketing,2,2,2,Sales Representative,3,Divorced,8805.0,1,Yes,14,3,4,0,23,5,3,19,18,1,15,No
49,Female,Travel_Frequently,Sales,10,5,Other,4,3,4,Sales Representative,4,Married,11516.0,8,No,20,3,4,3,31,3,3,27,25,1,23,No
44,Female,Travel_Rarely,Research & Development,20,1,Human Resources,2,2,5,Sales Executive,2,Single,14989.0,5,No,19,3,1,2,26,1,1,22,20,2,20,No
37,Male,Travel_Rarely,Sales,9,3,Technical Degree,2,3,4,Sales Executive,3,Single,12617.0,8,No,21,3,2,1,17,4,4,14,12,3,12,No
41,Male,Non-Travel,Research & Development,18,5,Human Resources,4,4,1,Research Director,1,Married,5109.0,2,No,24,3,4,3,18,5,4,14,12,3,11,No
29,Male,Travel_Rarely,Research & Development,6,3,Medical,3,3,2,Sales Executive,3,Divorced,5674.0,5,Yes,18,3,4,3,8,2,4,1,1,1,0,No
52,Male,Travel_Rarely,Research & Development,20,1,Other,3,3,2,Laboratory Technician,4,Single,8843.0,4,No,22,3,3,2,33,0,1,33,31,2,30,No
50,Female,Travel_Rarely,Sales,6,1,Human Resources,1,1,5,Manager,1,Divorced,16593.0,8,No,17,3,2,3,29,6,1,25,24,4,22,No
50,Male,Travel_Frequently,Research & Development,26,2,Other,4,2,4,Research Director,1,Divorced,12535.0,0,Yes,21,3,2,1,28,3,1,27,24,1,26,No
60,Female,Travel_Rarely,Research & Development,25,5,Medical,1,4,1,Healthcare Representative,2,Single,8260.0,8,No,25,3,2,1,41,1,1,35,33,3,34,No
54,Female,Travel_Frequently,Research & Development,10,4,Human Resources,2,2,4,Healthcare Representative,1,Married,13477.0,4,No,11,3,4,1,34,5,1,31,31,3,28,No
29,Female,Travel_Rarely,Research & Development,28,3,Technical Degree,1,3,3,Manufacturing Director,1,Divorced,8047.0,0,Yes,19,3,3,3,9,4,4,8,7,4,5,No
20,Female,Travel_Rarely,Sales,25,1,Other,2,3,4,Manufacturing Director,2,Married,10083.0,7,No,19,3,2,3,0,2,1,0,0,0,0,Yes
18,Male,Travel_Rarely,Sales,9,3,Human Resources,4,3,5,Sales Representative,3,Divorced,10185.0,6,No,16,3,3,2,0,4,4,0,0,0,0,Yes
50,Male,Travel_Frequently,Sales,9,3,Medical,4,2,4,Manager,4,Divorced,13701.0,5,No,17,3,1,3,32,2,1,32,30,3,32,No
57,Female,Travel_Rarely,Research & Development,3,4,Human Resources,4,3,2,Research Director,3,Single,10452.0,1,No,23,4,1,3,38,5,4,36,33,2,36,No
27,Male,Travel_Rarely,Research & Development,12,1,Human Resources,4,2,1,Manager,1,Married,2219.0,4,No,13,4,3,2,5,0,2,0,0,0,0,No
60,Male,Travel_Rarely,Research & Development,11,2,Technical Degree,1,4,5,Sales Representative,4,Divorced,17247.0,2,No,15,3,4,1,42,0,2,36,34,2,34,No
46,Male,Travel_Rarely,Research & Development,14,5,Marketing,2,4,3,Healthcare Representative,3,Married,12166.0,1,No,17,3,2,2,26,6,4,21,20,2,20,No
30,Female,Travel_Frequently,Research & Development,25,3,Life Sciences,3,2,1,Manager,4,Divorced,2258.0,0,Yes,11,3,1,0,11,1,2,7,6,4,4,Yes
29,Female,Travel_Rarely,Sales,19,4,Marketing,4,4,1,Sales Executive,1,Married,3021.0,8,No,22,3,1,3,8,1,2,2,2,2,0,Yes
48,Female,Travel_Rarely,Sales,10,4,Marketing,4,1,2,Laboratory Technician,3,Married,8376.0,1,No,11,4,3,3,25,2,4,19,18,1,17,No
19,Female,Travel_Rarely,Research & Development,19,5,Life Sciences,2,3,2,Research Director,4,Single,4062.0,0,No,15,4,4,0,0,2,1,0,0,0,0,Yes
52,Female,Travel_Rarely,Human Resources,5,5,Human Resources,3,3,2,Laboratory Technician,4,Divorced,11348.0,6,No,19,3,3,0,29,2,1,23,21,0,20,No
40,Female,Non-Travel,Research & Development,22,1,Marketing,4,3,5,Sales Executive,3,Divorced,14194.0,8,No,17,3,3,0,18,2,4,15,14,3,12,No
34,Female,Travel_Rarely,Research & Development,9,3,Marketing,3,1,4,Laboratory Technician,3,Divorced,9810.0,5,Yes,11,3,3,2,13,6,3,12,10,1,8,No
43,Male,Travel_Rarely,Sales,1,3,Medical,4,3,1,Manufacturing Director,1,Divorced,3697.0,7,Yes,23,3,3,1,24,5,3,23,21,6,23,No
25,Female,Travel_Rarely,Sales,15,5,Medical,1,2,4,Research Director,2,Single,10006.0,6,Yes,23,3,3,2,6,5,2,5,4,1,2,Yes
46,Male,Travel_Rarely,Research & Development,24,2,Technical Degree,1,3,4,Human Resources,4,Single,11870.0,8,No,25,3,4,0,25,0,3,22,22,1,21,No
43,Female,Travel_Rarely,Research & Development,4,3,Other,3,2,2,Manufacturing Director,3,Divorced,9160.0,6,No,22,3,3,2,24,1,2,19,19,3,17,No
27,Male,Travel_Rarely,Research & Development,26,4,Human Resources,2,4,4,Sales Representative,3,Married,9303.0,5,No,15,3,4,3,5,6,1,5,2,3,1,No
43,Male,Non-Travel,Research & Development,7,5,Technical Degree,2,2,1,Sales Executive,3,Single,5438.0,0,No,25,3,2,2,25,1,4,19,16,0,18,No
51,Male,Travel_Rarely,Sales,6,3,Medical,1,2,1,Human Resources,4,Married,6023.0,8,No,18,3,2,0,29,3,1,26,25,2,22,No
58,Male,Travel_Rarely,Research & Development,15,1,Medical,2,2,3,Manufacturing Director,1,Married,12738.0,4,No,18,3,2,3,35,1,4,34,34,1,34,No
24,Female,Travel_Rarely,Research & Development,6,5,Life Sciences,2,3,5,Human Resources,2,Married,11674.0,1,No,22,3,2,1,2,1,3,0,0,0,0,No
21,Female,Travel_Rarely,Sales,7,4,Life Sciences,2,1,4,Laboratory Technician,4,Divorced,10380.0,7,No,12,3,1,2,0,4,1,0,0,0,0,No
28,Female,Travel_Rarely,Research & Development,20,1,Medical,3,1,5,Healthcare Representative,1,Single,12156.0,3,No,17,3,4,2,9,4,1,3,1,3,1,No
46,Female,Travel_Rarely,Research & Development,22,5,Marketing,3,2,5,Sales Executive,4,Divorced,15976.0,2,No,20,4,2,0,28,6,2,25,22,5,25,No
53,Female,Travel_Rarely,Research & Development,3,5,Technical Degree,2,3,5,Laboratory Technician,4,Married,16891.0,0,No,15,3,1,1,34,3,4,27,26,0,27,No
42,Female,Travel_Rarely,Human Resources,21,3,Medical,1,1,5,Healthcare Representative,3,Divorced,14906.0,4,No,19,4,4,3,22,2,3,19,19,1,15,No
38,Female,Travel_Frequently,Research & Development,29,1,Human Resources,2,4,1,Manager,1,Married,4591.0,2,Yes,13,3,1,0,19,3,1,19,16,2,19,Yes
53,Female,Travel_Rarely,Research & Development,29,5,Medical,4,4,4,Research Director,3,Divorced,13726.0,3,Yes,11,3,1,0,30,3,4,30,30,1,29,No
27,Female,Non-Travel,Sales,13,4,Life Sciences,1,3,3,Sales Executive,3,Divorced,7712.0,8,No,23,3,3,2,8,0,3,5,3,5,1,No
54,Female,Travel_Rarely,Research & Development,2,1,Technical Degree,3,4,5,Laboratory Technician,1,Single,16139.0,6,No,14,3,1,1,35,5,1,34,33,1,34,No
26,Female,Travel_Rarely,Research & Development,3,3,Technical Degree,4,4,3,Sales Executive,3,Single,7075.0,4,Yes,17,3,1,0,8,1,4,6,6,3,4,No
41,Male,Travel_Rarely,Sales,13,2,Other,2,4,1,Healthcare Representative,3,Married,3592.0,7,Yes,11,3,4,2,22,0,2,16,15,2,15,Yes
52,Male,Travel_Rarely,Research & Development,9,5,Medical,2,1,1,Research Director,2,Married,8424.0,5,No,12,3,1,3,34,6,1,34,34,2,32,No
52,Male,Travel_Rarely,Research & Development,22,2,Other,1,4,2,Manufacturing Director,1,Married,9438.0,1,No,24,3,3,0,31,5,4,25,23,0,23,Yes
53,Male,Travel_Rarely,Sales,19,5,Life Sciences,1,2,5,Human Resources,1,Divorced,14741.0,6,Yes,15,3,2,3,33,6,3,32,30,2,28,No
35,Male,Travel_Rarely,Sales,18,3,Other,2,2,2,Manager,3,Married,7596.0,0,Yes,19,3,2,3,17,1,3,11,10,2,8,No
56,Female,Travel_Rarely,Sales,5,3,Marketing,2,4,3,Manager,3,Single,12691.0,2,Yes,24,3,4,2,33,6,2,29,27,4,25,No
49,Female,Travel_Rarely,Research & Development,10,3,Medical,1,2,4,Healthcare Representative,1,Married,13700.0,0,Yes,11,3,4,1,28,3,1,28,25,0,27,No
41,Male,Travel_Rarely,Research & Development,14,3,Medical,4,1,2,Healthcare Representative,1,Married,7048.0,0,No,22,3,1,3,23,1,2,22,22,3,21,No
40,Female,Travel_Rarely,Research & Development,21,1,Technical Degree,3,3,1,Sales Representative,4,Divorced,4841.0,4,Yes,14,4,4,0,22,2,4,21,19,3,17,Yes
49,Male,Travel_Rarely,Sales,17,1,Other,1,2,5,Research Director,1,Single,14857.0,5,No,22,3,1,1,29,2,3,27,24,3,24,No
54,Female,Non-Travel,Sales,3,5,Technical Degree,4,4,3,Sales Representative,4,Married,12025.0,2,No,24,3,4,1,31,3,2,29,28,2,25,No
29,Female,Travel_Frequently,Research & Development,7,1,Human Resources,2,3,1,Sales Executive,3,Single,3681.0,2,No,13,3,2,2,7,6,1,3,0,0,2,No
30,Male,Travel_Rarely,Research & Development,9,5,Other,3,3,4,Sales Executive,2,Married,12511.0,2,Yes,24,4,2,0,8,4,4,7,6,2,4,No
40,Male,Travel_Rarely,Sales,5,1,Other,4,4,5,Manager,2,Single,12823.0,0,Yes,15,3,2,0,22,2,1,17,16,2,16,No
42,Male,Travel_Rarely,Sales,4,1,Life Sciences,3,2,4,Laboratory Technician,4,Married,12203.0,4,Yes,15,3,2,2,23,3,2,22,22,1,19,No
52,Female,Travel_Frequently,Sales,3,1,Other,3,1,4,Human Resources,3,Married,11415.0,0,Yes,20,3,1,2,29,0,3,27,27,0,24,No
58,Male,Travel_Frequently,Research & Development,26,4,Technical Degree,3,2,5,Sales Representative,3,Divorced,17087.0,2,No,12,4,1,1,37,4,3,32,29,0,28,No
47,Female,Travel_Rarely,Research & Development,13,3,Human Resources,4,2,5,Research Scientist,3,Divorced,16160.0,5,Yes,15,3,1,3,28,2,2,28,28,1,24,No
34,Female,Travel_Frequently,Research & Development,9,4,Other,4,1,4,Laboratory Technician,1,Single,12348.0,5,Yes,19,4,2,3,15,3,1,15,15,0,11,No
37,Female,Travel_Rarely,Research & Development,23,1,Other,2,3,3,Research Director,3,Single,8870.0,2,No,15,3,3,3,14,3,1,8,8,2,5,No
42,Female,Travel_Frequently,Research & Development,28,1,Medical,3,1,5,Sales Executive,1,Single,12878.0,8,No,25,3,2,3,24,0,1,21,18,1,18,No
39,Male,Travel_Rarely,Sales,7,4,Medical,1,1,1,Healthcare Representative,4,Single,5305.0,7,Yes,21,3,2,0,21,0,1,19,17,3,18,No
30,Male,Travel_Rarely,Sales,29,5,Human Resources,1,4,2,Sales Executive,2,Divorced,6593.0,2,Yes,20,3,3,0,12,4,3,9,9,1,7,No
36,Male,Travel_Frequently,Research & Development,8,3,Medical,1,4,3,Human Resources,4,Single,8395.0,4,Yes,12,4,3,2,18,5,1,13,13,1,9,Yes
53,Male,Travel_Rarely,Sales,10,5,Marketing,4,2,5,Sales Representative,3,Married,15412.0,4,No,17,3,4,2,31,2,2,29,26,6,28,No
29,Female,Non-Travel,Research & Development,1,3,Medical,2,4,5,Healthcare Representative,3,Married,11501.0,4,No,25,3,2,3,11,3,2,7,5,3,6,No
58,Male,Travel_Rarely,Sales,27,2,Marketing,4,1,3,Manager,4,Married,11449.0,2,No,16,3,3,2,36,4,2,35,35,1,35,No
36,Male,Travel_Rarely,Sales,20,3,Human Resources,3,1,2,Laboratory Technician,1,Divorced,7321.0,4,No,17,3,4,0,14,6,2,10,9,1,6,Yes
29,Male,Travel_Frequently,Sales,29,5,Marketing,1,4,4,Laboratory Technician,1,Single,11062.0,4,No,18,3,3,3,11,4,1,6,3,4,5,No
26,Male,Travel_Rarely,Research & Development,29,3,Human Resources,4,4,1,Sales Representative,1,Married,1844.0,3,Yes,20,3,3,3,6,6,3,4,4,3,4,No
24,Female,Travel_Rarely,Research & Development,21,2,Technical Degree,1,4,5,Sales Representative,2,Married,10816.0,3,No,15,3,4,0,3,0,4,0,0,0,0,No
45,Female,Travel_Rarely,Sales,21,2,Medical,4,1,2,Sales Representative,2,Divorced,8351.0,1,No,12,3,2,1,26,3,1,21,20,0,18,No
31,Female,Non-Travel,Sales,1,1,Other,1,3,1,Research Scientist,3,Divorced,3754.0,8,No,17,3,4,3,9,1,4,2,1,2,2,No
48,Female,Travel_Frequently,Research & Development,19,2,Life Sciences,3,3,3,Research Scientist,4,Divorced,9753.0,6,No,17,3,2,2,25,5,3,24,21,3,21,No
36,Male,Travel_Rarely,Research & Development,2,4,Other,1,4,5,Healthcare Representative,4,Married,13379.0,0,No,18,3,3,1,13,5,1,13,10,4,11,Yes
33,Female,Travel_Rarely,Sales,12,5,Medical,3,2,4,Manufacturing Director,3,Divorced,10568.0,4,No,17,3,4,0,12,0,4,12,11,2,10,No
22,Male,Travel_Rarely,Research & Development,23,4,Other,3,2,3,Sales Representative,1,Married,4281.0,1,Yes,20,4,1,1,0,6,3,0,0,0,0,No
52,Male,Travel_Rarely,Research & Development,13,4,Medical,4,3,5,Laboratory Technician,2,Single,15285.0,5,No,17,3,3,1,32,3,4,29,28,4,27,No
29,Male,Non-Travel,Research & Development,14,5,Medical,4,4,2,Healthcare Representative,4,Married,4760.0,6,Yes,24,4,4,3,6,4,2,4,4,2,3,No
42,Male,Travel_Rarely,Research & Development,5,4,Other,4,1,1,Research Scientist,3,Single,6260.0,1,No,23,3,3,1,23,5,2,21,20,1,19,No
